Parit,Teur_parit,Quantity,price_parit,Size,Shelf_Number,Teur_order,CategoryID,Related,ExpDate,incomeQuantity,DateStartStatistic
000000000002026406,קופלונג 1/1.5/2,8,62.73,יח,21,קופלונג 1/1.5/2,1,,,9,9/19/2019
000000000002026407,רקורד PVC 3/4,8,17.71,יח,20,רקורד PVC 3/4,1,,,19,9/19/2019
000000000002026408,ברז שלוחה 16/20,58,5.01,יח,21,ברז שלוחה 16/20,23,,,139,9/19/2019
000000000002026409,ברז מעבר 1,17,25.44,יח,21,ברז מעבר 1,23,,,7,9/19/2019
000000000002026410,ברז מעבר 1/2 או 3/4,63,18.99,יח,21,ברז מעבר 1/2 או 3/4,23,,,47,9/19/2019
000000000002026411,ברז גן פלסטיק 1/2,16,22.03,יח,21,ברז גן פלסטיק 1/2,23,,,5,9/19/2019
000000000002026412,ברז גן 1/2 או 3/4,26,29.02,יח,21,ברז גן 1/2 או 3/4,23,,,31,9/19/2019
000000000002026413,ברז ניל יחיד 1/2-3/8,20,23.84,יח,19,ברז ניל יחיד 1/2-3/8,23,,,49,9/19/2019
000000000002026414,ברז ניל כפול,12,49.35,יח,19,ברז ניל כפול,23,,,7,9/19/2019
000000000002026415,ברז מעבר פלסטיק 3/4,22,5.87,יח,21,ברז מעבר פלסטיק 3/4,23,,,20,9/19/2019
000000000002026416,ברז PVC 3/4,20,10.44,יח,21,ברז PVC 3/4,23,,,27,9/19/2019
000000000002026417,ברז מעבר צול וחצי או שני צול,3,257.59,יח,21,ברז מעבר צול וחצי או שני צול,23,,,5,9/19/2019
000000000002026420,מפסק זרם יחיד מתחת לטיח,2,10.08,יח,17,מפסק זרם יחיד מתחת לטיח,22,,,24,9/19/2019
000000000002026421,מפסק זרם מוגן על טיח,27,12.67,יח,17,מפסק זרם מוגן על טיח,22,,,6,9/19/2019
000000000002026422,מפסק זרם כפול מתחת לטיח,12,10.31,יח,17,מפסק זרם כפול מתחת לטיח,22,,,4,9/19/2019
000000000002026423,מפסק זרם כפול מעל הטיח,4,16.6,יח,17,מפסק זרם כפול מעל הטיח,22,,,16,9/19/2019
000000000002026424,מפסק מוגן לדוד,5,62.48,יח,17,מפסק מוגן לדוד,22,,,3,9/19/2019
000000000002026425,נורה פלורסנט 15 וואט.,0,6.33,יח,18,נורה פלורסנט 15 וואט.,1,,,3,9/19/2019
000000000002026426,נורה EL,16,6.24,יח,18,נורה EL,1,,,130,9/19/2019
000000000002026427,שקע מוגן מיים 2N,22,20.49,יח,17,שקע מוגן מיים 2N,1,,,9,9/19/2019
000000000002026428,שקע מוגן מיים 3N,6,41.94,יח,17,שקע מוגן מיים 3N,1,,,6,9/19/2019
000000000002026429,שקע N1 מוגן,4,12.42,יח,17,שקע N1 מוגן,1,,,20,9/19/2019
000000000002026430,שקע בריטי למזגן,28,14.11,יח,17,שקע בריטי למזגן,1,,,12,9/19/2019
000000000002026431,שקע יחיד מתחת לטיח,7,4.56,יח,17,שקע יחיד מתחת לטיח,1,,,47,9/19/2019
000000000002026432,שקע סקון 16A,24,23.04,יח,17,שקע סקון 16A,1,,,10,9/19/2019
000000000002026433,תקע סקון 16A,23,12.1,יח,17,תקע סקון 16A,1,,,19,9/19/2019
000000000002026434,ספריי מגולוון,16,19.21,יח,1,ספריי מגולוון,1,,,18,9/19/2019
000000000002026435,כבל מאריך חשמלי 10 מ,0,41.89,יח,17,כבל מאריך חשמלי 10 מ',22,,,6,9/19/2019
000000000002026436,בקבוק מעבדה זכוכית 500 מ  ל,97,16.52,יח,11,בקבוק מעבדה זכוכית 500 מ  ל,24,,,0,9/19/2019
000000000002026437,בקבוק מעבדה זכוכית 1000 מ  ל,9,20.91,יח,11,בקבוק מעבדה זכוכית 1000 מ  ל,24,,,0,9/19/2019
000000000002026438,בקבוק מעבדה זכוכית 250 מ  ל,24,17.11,יח,11,בקבוק מעבדה זכוכית 250 מ  ל,24,,,34,9/19/2019
000000000002026439,בקבוק מעבדה זכוכית 100 מ  ל,141,12.52,יח,11,בקבוק מעבדה זכוכית 100 מ  ל,24,,,359,9/19/2019
000000000002026441,בקבוק שטיפה פלסטי 500 מ  ל,16,8.72,יח,5,בקבוק שטיפה פלסטי 500 מ  ל,24,,,14,9/19/2019
000000000002026442,בקבוק שטיפה פלסטי 1000 מ  ל,27,14.36,יח,5,בקבוק שטיפה פלסטי 1000 מ  ל,24,,,20,9/19/2019
000000000002026443,מיכל פלסטיק 5 ליטר,0,4.6,יח,25,מיכל פלסטיק 5 ליטר,24,,,16,9/19/2019
000000000002026444,בקבוק ארלנמייר 500 מ  ל,24,14.16,יח,4,בקבוק ארלנמייר 500 מ  ל,24,,,30,9/19/2019
000000000002026445,בקבוק ארלנמייר 1 ליטר,0,22.08,יח,4,בקבוק ארלנמייר 1 ליטר,24,,,16,9/19/2019
000000000002026446,כוס כימית 1 ליטר פירקס,51,18.11,יח,8,כוס כימית 1 ליטר פירקס,24,,,11,9/19/2019
000000000002026447,כוס כימית פלסטי 100 מ  ל,23,3.51,יח,7,כוס כימית פלסטי 100 מ  ל,24,,,28,9/19/2019
000000000002026448,כוס כימית פלסטי 250 מ  ל,49,5.83,יח,7,כוס כימית פלסטי 250 מ  ל,24,,,23,9/19/2019
000000000002026449,כוס כימית פלסטי 500 מ  ל,1,8.19,יח,7,כוס כימית פלסטי 500 מ  ל,24,,,16,9/19/2019
000000000002026457,מד חום עד 50 מעלות,9,14.28,יח,15,מד חום עד 50 מעלות,24,,,19,9/19/2019
000000000002026458,מד חום עד 110 מעלות,10,11.7,יח,15,מד חום עד 110 מעלות,24,,,3,9/19/2019
000000000002026459,מד חום עד 200 מעלות,6,39.45,יח,15,מד חום עד 200 מעלות,24,,,0,9/19/2019
000000000002026460,מגש עציצים,215,3.72,יח,25,מגש עציצים,31,,,74,9/19/2019
000000000002026461,"משורה פיירקס 10 מ""ל",32,11.78,יח,7,"משורה פיירקס 10 מ""ל",1,,,44,9/19/2019
000000000002026462,משורה פיירקס 25 מ  ל,32,20.53,יח,7,משורה פיירקס 25 מ  ל,1,,,26,9/19/2019
000000000002026463,משורה פיירקס 50 מ  ל,11,8.77,יח,7,משורה פיירקס 50 מ  ל,1,,,16,9/19/2019
000000000002026464,משורה פיירקס 100 מ  ל,14,29.12,יח,7,משורה פיירקס 100 מ  ל,1,,,22,9/19/2019
000000000002026465,משורה פיירקס 250 מ  ל,20,22.28,יח,7,משורה פיירקס 250 מ  ל,1,,,9,9/19/2019
000000000002026466,משורה פיירקס 500 מ  ל,20,27.29,יח,7,משורה פיירקס 500 מ  ל,1,,,18,9/19/2019
000000000002026467,משורה פיירקס 1 ליטר,13,64.31,יח,7,משורה פיירקס 1 ליטר,1,,,6,9/19/2019
000000000002026468,משורה פלסטיק 25 מ  ל,44,9.33,יח,7,משורה פלסטיק 25 מ  ל,1,,,17,9/19/2019
000000000002026469,משורה פלסטיק 50 מ  ל,8,16.58,יח,7,משורה פלסטיק 50 מ  ל,1,,,14,9/19/2019
000000000002026470,משורה פלסטיק 100 מ  ל,40,11.46,יח,7,משורה פלסטיק 100 מ  ל,1,,,24,9/19/2019
000000000002026471,משורה פלסטיק 250 מ  ל,17,19.87,יח,7,משורה פלסטיק 250 מ  ל,1,,,4,9/19/2019
000000000002026472,משורה פלסטיק 500 מ  ל,11,25.78,יח,7,משורה פלסטיק 500 מ  ל,1,,,20,9/19/2019
000000000002026473,משורה פלסטיק 1 ליטר,8,41.28,יח,7,משורה פלסטיק 1 ליטר,1,,,16,9/19/2019
000000000002026474,מזלף פלסטי להשקיה,13,23.3,יח,10,מזלף פלסטי להשקיה,31,,,2,9/19/2019
000000000002026476,משאבת דשן מתכוננת,6,1051.44,יח,1,משאבת דשן מתכוננת,1,,,1,9/19/2019
000000000002026477,צינור עיוור 20 (לפי מטר בודד),90,1.77,חבילה,25,צינור עיוור 20 (לפי מטר בודד),1,,,125,9/19/2019
000000000002026478,ניפל מתכת 2,7,27.49,יח,21,ניפל מתכת 2,1,,,19,9/19/2019
000000000002026479,ניפל מתכת 1/2 - 1 צול,75,4.51,יח,21,ניפל מתכת 1/2 - 1 צול,1,,,78,9/19/2019
000000000002026480,ניפל אס פי,8,12.08,יח,19,ניפל אס פי,1,,,26,9/19/2019
000000000002026481,ניפל  פלסטיק   1/2 ; 3/4 ; 1,293,2.17,יח,19,"ניפל  פלסטיק   1/2 ; 3/4 ; ""1",1,,,209,9/19/2019
000000000002026482,ספטולה כפית,78,15.89,יח,15,ספטולה כפית,1,,,32,9/19/2019
000000000002026483,ספטולה  קעורה,7,11.78,יח,15,ספטולה  קעורה,1,,,25,9/19/2019
000000000002026484,פינצטה ישרה,34,6.84,יחידה,11,פינצטה ישרה,26,,,34,9/19/2019
000000000002026485,פינצטה כפופה,38,10.06,יח,15,פינצטה כפופה,1,,,0,9/19/2019
000000000002026486,פינצטה אנטומית,0,8.19,יח,15,פינצטה אנטומית,1,,,0,9/19/2019
000000000002026488,טי  להשקייה 16.16.16 -16-3.4-16 פ.ח,74,8,יח,20,טי  להשקייה 16.16.16 -16-3.4-16 פ.ח,23,,,169,9/19/2019
000000000002026489,טיפים עם פילטר 10 מ  ל,47,147.38,חב,5,טיפים עם פילטר 10 מ  ל,24,,,5,9/19/2019
000000000002026490,טיפים עם פילטר 200 מל,6,154.58,חב,5,טיפים עם פילטר 200 מל,24,,,6,9/19/2019
000000000002026491,טיפים עם פילטר 1000 מל,11,157.36,חב,5,טיפים עם פילטר 1000 מל,24,,,6,9/19/2019
000000000002026492,מחבר 32-32,14,18.1,יח,20,מחבר 32-32,23,,,17,9/19/2019
000000000002026493,טי שן,1509,0.67,יח,21,טי שן,23,,,2073,9/19/2019
000000000002026494,דורסבן גרגרי 1 ק  ג,0,73.49,יח,23,דורסבן גרגרי 1 ק  ג,29,,,0,9/19/2019
000000000002026495,טי PVC 1/2 -3/4,42,5.19,יח,19,טי PVC 1/2 -3/4,23,,,38,9/19/2019
000000000002026496,חוט חשמל 1.5,0,0.76,מטר,18,חוט חשמל 1.5,1,,,,
000000000002026498,מבחנות אפנדורף  1.5 מל (500יח),35,25.47,יח,5,מבחנות אפנדורף  1.5 מל (500יח),24,,,47,9/19/2019
000000000002026499,מבחנות אפנדורף 2 מל (500יח),45,28.54,יח,5,מבחנות אפנדורף 2 מל (500יח),24,,,39,9/19/2019
000000000002026500,מבחנות זכוכית 1/2 דרם,0,253.19,יח,5,מבחנות זכוכית 1/2 דרם,24,,,26,9/19/2019
000000000002026501,מבחנות זכוכית 2 דרם,0,0,יח,5,מבחנות זכוכית 2 דרם,24,,,0,9/19/2019
000000000002026502,מבחנות זכוכית 3 דרם,0,230.81,יח,5,מבחנות זכוכית 3 דרם,24,,,1,9/19/2019
000000000002026503,מבחנות זכוכית 6 דרם,0,276.45,יח,5,מבחנות זכוכית 6 דרם,24,,,5,9/19/2019
000000000002026504,מבחנות זכוכית 1 דרם - 5 מל,0,84.24,יח,5,"מבחנות זכוכית 1 דרם - 5 מ""ל",24,,,1,9/19/2019
000000000002026841,חוט לחרמש,5,26.43,יח,10,חוט לחרמש,30,,,0,9/19/2019
000000000002026842,ערכת תיקון פנצר,0,58.5,יח,8,ערכת תיקון פנצר,1,,,5,9/19/2019
000000000002026843,משחת גיזום,0,68.79,יח,10,משחת גיזום,31,,,,
000000000002026845,מעבר מים מ-1/2 ל 3/4,27,4.53,יח,21,מעבר מים מ-1/2 ל 3/4,23,,,28,9/19/2019
000000000002026846,"מעבר מים מ 1/2 ל 1""",17,8.55,יח,21,"מעבר מים מ 1/2 ל 1""",23,,,4,9/19/2019
000000000002026847,סוללה 3.6 V ליטיום,0,18.02,יחידה,13,סוללה 3.6 V ליטיום,1,,,,
000000000002026908,נורה לד 23W ליבון,5,14.75,יח,18,נורה לד 23W ליבון,22,,,,
000000000002026927,מסור מתקפל,6,103.95,יח,25,מסור מתקפל,30,,,6,9/19/2019
000000000002026928,להב למסור,3,74.65,יח,25,להב למסור,30,,,7,9/19/2019
000000000002026929,שקית ניילון עם פס סגר 7X10,149,8.77,חב,9,שקית ניילון עם פס סגר 7X10,1,,,26,9/19/2019
000000000002026935,סוללה A23 12V,0,2.82,יח,13,סוללה A23 12V,1,,,20,9/19/2019
000000000002026940,סיליקון סופר 7,25,29.55,יח,2,סיליקון סופר 7,1,,,23,9/19/2019
000000000002026941,נרתיק למזמרה,4,35.4,יח,10,נרתיק למזמרה,1,,,4,9/19/2019
000000000002026942,מגש לרולר,0,22.23,יח,2,מגש לרולר,30,,,13,9/19/2019
000000000002026943,סיפון גמיש,20,12.61,יח,19,סיפון גמיש,1,,,16,9/19/2019
000000000002026946,פקק/מעבר דורה,141,7.43,יח,20,פקק/מעבר דורה,1,,,68,9/19/2019
000000000002026947,סולונואיד DC,0,78,יח,20,סולונואיד DC,1,,,0,9/19/2019
000000000002026948,סולונואיד AC,0,42.58,יח,20,סולונואיד AC,1,,,0,9/19/2019
000000000002026949,פקק חשמל HRC,0,8.22,יח,17,פקק חשמל HRC,1,,,0,9/19/2019
000000000002026952,מבחנות זכוכית 10X75,0,38.1,יח,3,מבחנות זכוכית 10X75,24,,,1,9/19/2019
000000000002026953,"משורה פלסטיק 10 מ""ל",21,9.09,יח,7,"משורה פלסטיק 10 מ""ל",1,,,21,9/19/2019
000000000002026979,פקק פלסטיק מחצי עד 1 צול,156,1.41,יח,19,פקק פלסטיק מחצי עד 1 צול,1,,,162,9/19/2019
000000000002026980,פקק מתכת מחצי עד 1 צול,96,6.24,יח,21,פקק מתכת מחצי עד 1 צול,1,,,21,9/19/2019
000000000002026993,רולר קטן,4,20.33,יח,1,רולר קטן,30,,,,
000000000002026996,מוט טלסקופי,6,74.86,יח,21,מוט טלסקופי,30,,,0,9/19/2019
000000000002027000,שקית ניילון עם פס סגר  18X25,9,23.01,חב,9,שקית ניילון עם פס סגר  18X25,1,,,24,9/19/2019
000000000002027001,שקית ניילון עם פס סגר  35X45 ארוז 100יח,15,54.16,חב,9,שקית ניילון עם פס סגר  35X45 ארוז 100יח,1,,,17,9/19/2019
000000000002027162,DNA של  שמרים,3,762.49,יח,3,DNA של  שמרים,26,,,3,9/19/2019
000000000002027235,טרנספר שחור למדפסת SAMSUNG CLP 670ND,0,116.96,יח,14,טרנספר שחור למדפסת SAMSUNG CLP 670ND,19,,,4,9/19/2019
000000000002027245,פילטר לסינון מדיום 0.2 500 מל,0,276.14,חבילה,8,פילטר לסינון מדיום 0.2 500 מל,24,,,,
000000000002027255,נייר סינון 1 'קוטר 4.25,0,40.95,חב,9,נייר סינון 1 'קוטר 4.25,1,,,9,9/19/2019
000000000002027256,נייר סינון 1 קוטר 5.5,9,18.14,חב,9,נייר סינון 1 קוטר 5.5,1,,,9,9/19/2019
000000000002027257,נייר סינון 1 קוטר 7,13,27.24,חב,9,נייר סינון 1 קוטר 7,1,,,45,9/19/2019
000000000002027258,נייר סינון 1 קוטר 9,32,25.73,חב,9,נייר סינון 1 קוטר 9,1,,,9,9/19/2019
000000000002027272,מאריך לברז - ניל,13,16.43,יח,21,מאריך לברז - ניל,23,,,2,9/19/2019
000000000002027273,ראש-לברז נחושת,0,17.55,יח,19,ראש-לברז נחושת,1,,,0,9/19/2019
000000000002027280,נייר  שקילה (פנקס),18,31.54,יח,6,נייר  שקילה (פנקס),1,,,11,9/19/2019
000000000002027281,מקל דגימה כחול טבעת 10כדור 20 (1000יח),7,204.29,חבילה,7,מקל דגימה כחול טבעת 10כדור 20 (1000יח),26,,,,
000000000002027282,"כוס כימית פיירקס 25 מ""ל",25,3.36,יח,8,"כוס כימית פיירקס 25 מ""ל",24,,,34,9/19/2019
000000000002027283,"כוס כימית פיירקס 50 מ""ל",72,3.54,יח,8,"כוס כימית פיירקס 50 מ""ל",24,,,50,9/19/2019
000000000002027284,"כוס כימית פיירקס 100 מ""ל",88,4.11,יח,8,"כוס כימית פיירקס 100 מ""ל",24,,,65,9/19/2019
000000000002027285,כוס כימית פיירקס 250 מל,135,6.93,יח,8,"כוס כימית פיירקס 250 מ""ל",24,,,42,9/19/2019
000000000002027286,"כוס כימית פיירקס 400 מ""ל",118,9.34,יח,8,"כוס כימית פיירקס 400 מ""ל",24,,,92,9/19/2019
000000000002027287,כוס כימית פיירקס 600 מל,40,10.03,יח,8,כוס כימית פיירקס 600 מל,24,,,16,9/19/2019
000000000002027290,נייר עדשות,0,15.21,יח,6,נייר עדשות,24,,,,
000000000002027575,טונר למדפסת EPSON C5790 - מחיר ליחידה!,24,159.32,יח,14,טונר למדפסת EPSON C5790 - מחיר ליחידה!,27,,,,
000000000002027600,רצועת העברה (טרנספר) למדפסת,1,170.99,יח,14,רצועת העברה (טרנספר) למדפסת,19,,,6,9/19/2019
000000000002027650,צנצנת 50 מל,0,0.82,יחידה,25,"צנצנת 50 מ""ל",1,,,,
000000000002027930,מחזיר דלת  קפיצי לבן,4,52.65,יח,2,מחזיר דלת  קפיצי לבן,1,,,1,9/19/2019
000000000002028327,מגרזת ידנית,0,140.4,יחידה,10,מגרזת ידנית,1,,,,
000000000002028439,כפית מתכת,111,3.69,יח,14,כפית מתכת,25,,,,
000000000002028572,נוזל טייפון/גלייפוס לקוטלי עשב(5 ליטר),23,96,יח,23,נוזל טייפון/גלייפוס לקוטלי עשב(5 ליטר),29,,,11,9/19/2019
000000000002028623,מד חום דיגיטלי,21,82.01,יח,9,מד חום דיגיטלי,24,,,15,9/19/2019
000000000002028789,טרמוסטט לדוד,0,31.94,יח,17,טרמוסטט לדוד,23,,,2,9/19/2019
000000000002029102,ברז ניקל מהקיר קצר או ארוך,11,169.92,יחידה,26,ברז ניקל מהקיר קצר או ארוך,1,,,,
000000000002029103,ברז מים קרים מהקיר יחיד  קצר,0,53.24,יחידה,19,ברז מים קרים מהקיר יחיד  קצר,1,,,,
000000000002029226,צינור PVC שקוף,94,5.42,מטר,8,צינור PVC שקוף,1,,,,
000000000002029641,מחבר  50/50  רגיל לא תיקון,8,35.77,יחידה,20,מחבר  50/50  רגיל לא תיקון,23,,,,
000000000002030705,פיתיון לנמלים ותיקנים,46,45.86,יח,3,פיתיון לנמלים ותיקנים,1,,,21,9/19/2019
000000000002031264,רולטקה 30 או 50 מטר לפי בחירה,3,99.12,יחידה,26,רולטקה 30 או 50 מטר לפי בחירה,1,,,,
000000000002031580,ברז פרח ברבור פיה קצרה או ארוכה,2,294.22,יחידה,26,ברז פרח ברבור פיה קצרה או ארוכה,1,,,,
000000000002032179,צינורית 8   ממ טפטוף  ארוז30 מטר,3,48.38,חבילה,19,צינורית 8   ממ טפטוף  ארוז30 מטר,1,,,,
000000000002032180,צינורית 8   ממ  עיוור ארוז 30 מטר,1,38.35,חבילה,19,צינורית 8   ממ  עיוור ארוז 30 מטר,1,,,,
000000000002032422,טפטפת   מתפצלת  50 סמ/60 סמ,56,3.96,יח,20,טפטפת   מתפצלת  50 סמ/60 סמ,23,,,74,9/19/2019
000000000002032447,חומר הדברה גליידר,2,330.4,יח,23,חומר הדברה גליידר,29,,,0,9/19/2019
000000000002032526,כפפות ניטריל  XS/S/M/L/XL,529,9.21,חבילה,15,כפפות ניטריל  XS/S/M/L/XL,1,,,,
000000000002033244,טפלון  רחב,49,4.6,יח,19,טפלון  רחב,30,,,139,9/19/2019
000000000002033291,משפך פלסטיק קוטר 50/75/100 ממ,63,4.07,יח,7,"משפך פלסטיק קוטר 50/75/100 מ""מ",24,,,,
000000000002033330,צנצנת זכוכית  120 מל,0,1.87,יחידה,25,צנצנת זכוכית  120 מ'ל,1,,,,
000000000002033457,זוית פלסאון 3/4 25X25 פ.ח,27,21.9,יח,20,זוית פלסאון 3/4 25X25 פ.ח,23,,,,
000000000002033487,ידית כניסה לדלת אלומיניום,19,34.81,יח,2,ידית כניסה לדלת אלומיניום,1,,,,
000000000002033501,כף מכולת רחבה למילוי,2,23.68,יחידה,10,כף מכולת רחבה למילוי,1,,,,
000000000002033511,כפפות לטקס גדלים שונים,46,14.12,יח,15,כפפות לטקס גדלים שונים,1,,,,
000000000002033512,כפפות לטקס גדלים XS/S/M/L/XL,524,4.65,חבילה,15,כפפות לטקס גדלים XS/S/M/L/XL,1,,,,
000000000002033564,מחבר 20/20 20/20פ 20/20ח,198,4.85,יחידה,20,מחבר 20/20 20/20פ 20/20ח,23,,,,
000000000002033565,מחבר פלסטיק 25/25 25/25 פ 25/25 ח,101,6.34,יחידה,20,מחבר פלסטיק 25/25 25/25 פ 25/25 ח,23,,,,
000000000002033568,נקז 3/4 למיכל,0,7.73,יחידה,19,נקז 3/4 למיכל,23,,,,
000000000002033581,מכנסי דגמח גדלים שונים,7,48.57,יח,1,מכנסי דגמח גדלים שונים,32,,,,
000000000002033765,פנס איתות,0,66.61,יח,0,פנס איתות,1,,,0,9/19/2019
000000000002033823,צינור SP 16 לבן,0,9.24,מטר,25,צינור SP 16 לבן,1,,,,
000000000002034429,"שקית ניילון שקופה 98x62 ס""מ",0,0.63,יח,10,"שקית ניילון שקופה 98x62 ס""מ",1,,,0,9/19/2019
000000000002034956,מופה פלסטיק 50 לצינור ביוב,3,10.24,יחידה,21,מופה פלסטיק 50 לצינור ביוב,23,,,,
000000000002035180,כבל מאריך USB,7,29.5,יח,11,כבל מאריך USB,27,,,,
000000000002035225,כבל HDMI - אורך 5 מ,24,53.63,יח,11,כבל HDMI - אורך 5 מ,27,,,,
000000000002035261,פנס ראש לד,0,60.84,יח,11,פנס ראש לד,1,,,0,9/19/2019
000000000002035585,חומר לסתימת חורים בטיח (5 קג),2,31.86,יח,1,חומר לסתימת חורים בטיח (5 קג),1,,,,
000000000002036657,קומפוסט,0,13.5,יח,25,קומפוסט,1,,,,
000000000002041574,מנעול תפוס פנוי לדלת,7,42.91,יח,2,מנעול תפוס פנוי לדלת,1,,,,
000000000002053097,כבל DVI - ל - HDMI,7,21.24,יח,11,כבל DVI - ל - HDMI,27,,,,
000000000002053930,גוף תאורה 60X60 מעל הטיח,20,152.81,יחידה,25,גוף תאורה 60X60 מעל הטיח,22,,,,
000000000002053932,גוף תאורה עגול  18W תחת הטיח,35,38.29,יחידה,18,גוף תאורה עגול  18W תחת הטיח,22,,,,
000000000002055476,טוש להדגשה - ורוד,117,0.91,יח,13,טוש להדגשה - ורוד,19,,,230,9/19/2019
000000000002055477,טוש להדגשה - תכלת,152,1.33,יח,13,טוש להדגשה - תכלת,19,,,,
000000000002055478,טוש להדגשה - צהוב,138,1.22,יח,13,טוש להדגשה - צהוב,19,,,215,9/19/2019
000000000002055479,טוש להדגשה - ירוק,579,2.23,יח,13,טוש להדגשה - ירוק,19,,,205,9/19/2019
000000000002055490,טוש סימון לשקפים שחור ראש S,98,2,יח,15,טוש סימון לשקפים שחור ראש S,19,,,15,9/19/2019
000000000002055491,טוש סימון לשקפים שחור ראש F,503,2.37,יח,15,טוש סימון לשקפים שחור ראש F,19,,,,
000000000002055493,טוש סימון לשקפים כחול ראש F,9,2.07,יח,15,טוש סימון לשקפים כחול ראש F,1,,,236,9/19/2019
000000000002055494,טוש סימון לשקפים אדום ראש S,147,2.18,יח,15,טוש סימון לשקפים אדום ראש S,19,,,,
000000000002055500,טוש סימון לשקפים ירוק ראש S,188,1.68,יח,15,טוש סימון לשקפים ירוק ראש S,19,,,,
000000000002055501,טוש סימון עבה עמיד במים כחול,136,1.85,יח,12,טוש סימון עבה עמיד במים כחול,19,,,,
000000000002055502,טוש סימון עבה עמיד במים שחור,566,1.85,יח,12,טוש סימון עבה עמיד במים שחור,19,,,170,9/19/2019
000000000002055503,טוש סימון עבה עמיד במים אדום,190,1.88,יח,12,טוש סימון עבה עמיד במים אדום,19,,,,
000000000002055504,טוש סימון עבה עמיד במים ירוק,254,1.81,יח,12,טוש סימון עבה עמיד במים ירוק,19,,,,
000000000002055509,טוש סימון ארטליין  107 שחור,0,3.64,יח,12,טוש סימון ארטליין  107 שחור,19,,,,
000000000002055530,מחדד מתכת קטן,46,1.89,יח,13,מחדד מתכת קטן,19,,,45,9/19/2019
000000000002055532,מחדד שולחני,0,1.77,יח,12,מחדד שולחני,19,,,6,9/19/2019
000000000002055536,מכחול שטוח מס 10-16 ,0,7.21,ערכה,15,מכחול שטוח מס 10-16 ,19,,,25,9/19/2019
000000000002055543,סרגל מתכת,22,1.94,יחידה,12,סרגל מתכת,1,,,,
000000000002055544,עפרון מכני 0.5,37,2.4,יח,15,עפרון מכני 0.5,1,,,17,9/19/2019
000000000002055545,עפרון מכני 0.7,0,2.4,יח,15,עפרון מכני 0.7,1,,,30,9/19/2019
000000000002055546,עופרת לעפרון מכני 0.5 ,0,0.67,יח,15,עופרת לעפרון מכני 0.5 ,1,,,31,9/19/2019
000000000002055547,עופרת לעפרון מכני 0.7 סט 12 יחידות,66,0.67,ערכ,15,עופרת לעפרון מכני 0.7 סט 12 יחידות,1,,,30,9/19/2019
000000000002055548,עפרון צבעוני סט 24 יח,27,4.04,יח,12,עפרון צבעוני סט 24 יח,19,,,,
000000000002055612,קופסת קרטון ארכיב רגיל עם מכסה,65,4.83,יח,25,קופסת קרטון ארכיב רגיל עם מכסה,19,,,,
000000000002055629,קופסת קרטון קשיח לאחסון 9 סמ,0,3.14,יח,0,קופסת קרטון קשיח לאחסון 9 סמ,1,,,70,9/19/2019
000000000002055649,חוצץ פלסטיק פוליו 1/12 צבעוני,18,1.69,יח,13,חוצץ פלסטיק פוליו 1/12 צבעוני,19,,,,
000000000002055650,חוצץ פלסטיק פוליו 1/7 צבעוני,118,1.22,יח,13,חוצץ פלסטיק פוליו 1/7 צבעוני,19,,,,
000000000002055651,חוצץ פלסטיק פוליו א-ב מדורג,26,4.79,יח,13,חוצץ פלסטיק פוליו א-ב מדורג,19,,,,
000000000002055693,כיס למינציה 125 מיקרון A4,3,53.2,חבילה,12,כיס למינציה 125 מיקרון A4,19,,,,
000000000002055695,אקדח לדבק חם,9,26.55,יח,10,אקדח לדבק חם,1,,,15,9/19/2019
000000000002055699,גומיות דקות לטקס L18 100 גרם בקופסה,0,1.55,קפס,15,גומיות דקות לטקס L18 100 גרם בקופסה,19,,,89,9/19/2019
000000000002055701,גומיות דקות לטקס L24 100 גרם בקופסה,4,1.54,קפס,15,גומיות דקות לטקס L24 100 גרם בקופסה,19,,,99,9/19/2019
000000000002055702,גומיות דקות לטקס L26 100 גרם בקופסה,8,1.54,קפס,15,גומיות דקות לטקס L26 100 גרם בקופסה,19,,,100,9/19/2019
000000000002055703,גומיות דקות לטקס L28 100 גרם בקופסה,0,1.54,קפס,15,גומיות דקות לטקס L28 100 גרם בקופסה,19,,,100,9/19/2019
000000000002055712,גומיות רחבות לטקס W30 100 גרם בקופסה,121,1.6,חבילה,15,גומיות רחבות לטקס W30 100 גרם בקופסה,19,,,,
000000000002055719,סרט דמוי בד 50 ממ בצבע שחור,32,5.15,גליל,13,סרט דמוי בד 50 ממ בצבע שחור,1,,,5,9/19/2019
000000000002055728,סרט אריזה חום,0,1.72,יח,13,סרט אריזה חום,1,,,144,9/19/2019
000000000002055733,מסקינג טייפ עבה,166,3.37,יח,12,מסקינג טייפ עבה,19,,,,
000000000002055738,דבק סטיק,0,1.44,יח,12,דבק סטיק,19,,,,
000000000002055739,דבק סטיק,0,2.8,יחידה,12,דבק סטיק,1,,,,
000000000002055740,דבק פלסטי,3,2.34,יח,12,דבק פלסטי,19,,,20,9/19/2019
000000000002055746,מעמד שולחני לסלוטייפ עד 30 מטר,5,1.77,יח,12,מעמד שולחני לסלוטייפ עד 30 מטר,19,,,182,9/19/2019
000000000002055749,סרט אריזה PVC גבוהה,43,5.22,יח,13,סרט אריזה PVC גבוהה,1,,,,
000000000002055754,מנקב רגיל קטן עד 10 דף,12,4.51,יח,12,מנקב רגיל קטן עד 10 דף,19,,,,
