Parit,Teur_parit,Quantity,price_parit,Size,Shelf_Number,Teur_order,CategoryID,Related,ExpDate,incomeQuantity,DateStartStatistic
000000000002014779,גוף תאורה הצפה לד 200W,8,138.7,יח,18,גוף תאורה הצפה לד 200W,22,,,,
000000000002014780,גוף תאורה הצפה 100W,17,80.83,יחידה,18,גוף תאורה הצפה 100W,22,,,,
000000000002015415,מעבר לגמיש    3/4,150,3.44,יח,19,מעבר לגמיש    3/4,23,,,16,9/19/2019
000000000002015438,שקע N2,4,15.4,יח,17,שקע N2,1,,,21,9/19/2019
000000000002015488,נורה פלורסנט 18 וואט.,0,4.72,יח,18,נורה פלורסנט 18 וואט.,1,,,0,9/19/2019
000000000002015489,נורה פלורסנט 36 W,50,4.72,יח,17,נורה פלורסנט 36 W,1,,,108,9/19/2019
000000000002015517,נורה ליבון לבנה.,3,21.66,יח,18,נורה ליבון לבנה.,1,,,11,9/19/2019
000000000002015788,מאמ  ת 63*3 א'  עם הגנה מגנטית והגנה תר,4,219.96,יח,17,מאמ  ת 63*3 א'  עם הגנה מגנטית והגנה תר,22,,,4,9/19/2019
000000000002017716,מקטין לחץ בקוטר   3/4 -  1/2 עשוי פליז,4,98.32,יח,21,מקטין לחץ בקוטר   3/4 -  1/2 עשוי פליז,23,,,2,9/19/2019
000000000002017934,תיק עזרה ראשונה מורחב,5,382.91,יח,6,תיק עזרה ראשונה מורחב,1,,,,
000000000002018048,פרלייט-212,11,70.02,יח,25,פרלייט-212,1,,,5,9/19/2019
000000000002021614,משאבת מיים (משאבה טבולה 3/4),0,464.2,יחידה,1,משאבת מיים (משאבה טבולה 3/4),1,,,,
000000000002021643,"מופה מתכת 2""",2,20.55,יח,21,"מופה מתכת 2""",23,,,0,9/19/2019
000000000002022416,גוף תאורה פס אמריקאי לד  (T8),4,60.03,יח,25,גוף תאורה פס אמריקאי לד  (T8),22,,,11,9/19/2019
000000000002022440,דיבל פרפר לקיר גבס,0,12.87,10,17,דיבל פרפר לקיר גבס,30,,,,
000000000002022460,אלקטרודות זיקה 2.5 ממ,1,145.69,יח,19,אלקטרודות זיקה 2.5 ממ,30,,,5,9/19/2019
000000000002023044,כבל 3*1.5 XLPE ירוק,955,3.4,יח,18,כבל 3*1.5 XLPE ירוק,22,,,275,9/19/2019
000000000002023055,צינור ספיראלי,10,56.99,יח,10,צינור ספיראלי,1,,,3,9/19/2019
000000000002023151,מרסס קטן שפריצר,50,4.33,יח,10,מרסס קטן שפריצר,31,,,71,9/19/2019
000000000002023246,גוף תאורה מוגן מים   לד,34,78.43,יח,25,גוף תאורה מוגן מים   לד,22,,,8,9/19/2019
000000000002023264,מסור קשת,4,29.36,יח,2,מסור קשת,30,,,0,9/19/2019
000000000002023265,שפכטל נירוסטה 2,0,13.47,יח,25,שפכטל נירוסטה 2,1,,,18,9/19/2019
